userId,name,role,password,course,year,groupId
3001,Admin User,admin,admin123,NA,0,NA
2001,Mike Stone,lecturer,teach123,NA,0,NA
2002,John Ryan,lecturer,teach123,NA,0,NA
2003,Lisa Quinn,lecturer,teach123,NA,0,NA
2004,David Wilson,lecturer,teach123,NA,0,NA
2005,Emma Thompson,lecturer,teach123,NA,0,NA
2006,Alan Murphy,lecturer,teach123,NA,0,NA
2007,Sarah O'Connor,lecturer,teach123,NA,0,NA
2008,Brian Walsh,lecturer,teach123,NA,0,NA
2009,Paul Gallagher,lecturer,teach123,NA,0,NA
2010,Thomas Evans,lecturer,teach123,NA,0,NA
2011,Rachel Clarke,lecturer,teach123,NA,0,NA
1001,Breean Cunningham,student,pass123,CS,1,CS1A
1002,Sarah O'Brien,student,pass123,CS,1,CS1A
1003,Luke Nolan,student,pass123,CS,1,CS1B
1004,Aoife Murphy,student,pass123,CS,2,CS2B
1005,Sean Kelly,student,pass123,CS,3,CS3A
1006,Megan Walsh,student,pass123,CS,3,CS3B
1007,Connor Byrne,student,pass123,CS,4,CS4A
1008,Hannah Gallagher,student,pass123,CS,4,CS4B
1009,Jack Lynch,student,pass123,MA,1,MA1A
1010,Sophie Ryan,student,pass123,MA,1,MA1B
1011,Dylan O'Neill,student,pass123,MA,2,MA2A
1012,Emma Fitzgerald,student,pass123,MA,2,MA2B
1013,Adam Burke,student,pass123,MA,3,MA3A
1014,Lily McCarthy,student,pass123,MA,3,MA3B
1015,Noah Clarke,student,pass123,MA,4,MA4A
1016,Chloe Dunne,student,pass123,MA,4,MA4B
1017,James O'Connor,student,pass123,EE,1,EE1A
1018,Anna Power,student,pass123,EE,1,EE1B
1019,Ben Walsh,student,pass123,EE,2,EE2A
1020,Zoe Kelly,student,pass123,EE,2,EE2B
1021,Sam Murphy,student,pass123,EE,3,EE3A
1022,Laura Byrne,student,pass123,EE,3,EE3B
1023,Peter Ryan,student,pass123,EE,4,EE4A
1024,Rachel O'Neill,student,pass123,EE,4,EE4B
1025,Tom Fitzgerald,student,pass123,BI,1,BI1A
1026,Sinead Burke,student,pass123,BI,1,BI1B
1027,Mark McCarthy,student,pass123,BI,2,BI2A
1028,Amy Clarke,student,pass123,BI,2,BI2B
1029,Keith Dunne,student,pass123,BI,3,BI3A
1030,Niamh O'Connor,student,pass123,BI,3,BI3B
1031,David Power,student,pass123,BI,4,BI4A
1032,Emma Walsh,student,pass123,BI,4,BI4B
